 7966 SpringBoard	Renamed        /private/var/tmp/SBNotificationsClearButton-Clear-High-0-2.cpbitmap.icZHOu	/private/var/mobile/Library/Caches/com.apple.springboard.sharedimagecache/Session/SBNotificationsClearButton-Clear-High-0-2.cpbitmap 
 7966 SpringBoard	Renamed        /private/var/tmp/SBNotificationsClearButton-Clear-High-0-4.cpbitmap.jzM7jm	/private/var/mobile/Library/Caches/com.apple.springboard.sharedimagecache/Session/SBNotificationsClearButton-Clear-High-0-4.cpbitmap 
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Created        /private/var/mobile/Library/Caches/.dat.nosync01ee.9UmuX6	
  494 timed	Modified       /private/var/mobile/Library/Caches/.dat.nosync01ee.9UmuX6	
  494 timed	Renamed        /private/var/mobile/Library/Caches/.dat.nosync01ee.9UmuX6	/private/var/mobile/Library/Caches/com.apple.timed.plist 
  494 timed	Chowned        /private/var/mobile/Library/Caches/com.apple.timed.plist	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Created        /private/var/mobile/Library/Caches/.dat.nosync01ee.e9sUxM	
  494 timed	Modified       /private/var/mobile/Library/Caches/.dat.nosync01ee.e9sUxM	
  494 timed	Renamed        /private/var/mobile/Library/Caches/.dat.nosync01ee.e9sUxM	/private/var/mobile/Library/Caches/com.apple.timed.plist 
  494 timed	Chowned        /private/var/mobile/Library/Caches/com.apple.timed.plist	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Created        /private/var/mobile/Library/Caches/.dat.nosync01ee.Epuhbp	
  494 timed	Modified       /private/var/mobile/Library/Caches/.dat.nosync01ee.Epuhbp	
  494 timed	Renamed        /private/var/mobile/Library/Caches/.dat.nosync01ee.Epuhbp	/private/var/mobile/Library/Caches/com.apple.timed.plist 
  494 timed	Chowned        /private/var/mobile/Library/Caches/com.apple.timed.plist	
